Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,type,region
06-01-2020,1.155100335,161726.12,3737,140642.19,184.16,10996.65,conventional,Albany
06-01-2020,1.761236356,1633.37,18.5,163.61,0,1347.56,organic,Albany
06-01-2020,0.941879812,714246.17,314827.55,31986.58,2757.78,88049.73,conventional,Atlanta
06-01-2020,1.596240148,22687.37,89.46,3203.55,0,5495.77,organic,Atlanta
06-01-2020,1.194204178,898091.79,106374.09,461193.66,5850.88,247747.75,conventional,BaltimoreWashington
06-01-2020,1.644069597,43434.08,289.11,3666.83,9.15,36573.96,organic,BaltimoreWashington
06-01-2020,0.890458144,317802.99,187738.34,9375.13,1428.84,49892.56,conventional,BirminghamMontgomery
06-01-2020,1.39493182,6427.75,79.96,167.56,0,5597.24,organic,BirminghamMontgomery
06-01-2020,1.172749954,109568.08,34274.34,7952.66,1666.38,14826.75,conventional,Boise
06-01-2020,1.74809361,3816.82,2.42,529.92,2.42,932.4,organic,Boise
06-01-2020,1.28283728,627254.88,10061.07,421279.81,1414.44,98332.82,conventional,Boston
06-01-2020,1.830830793,23000.62,83.19,1569.4,0,18936.44,organic,Boston
06-01-2020,1.206804884,172475.35,10923.37,71389.52,353.21,85956.81,conventional,BuffaloRochester
06-01-2020,1.611452778,9828.5,408.05,161.61,0,9254.64,organic,BuffaloRochester
06-01-2020,1.184136996,5631757.81,1767743.65,804070.42,184872.75,773193.65,conventional,California
06-01-2020,1.779791723,251868.12,21565.76,14176.89,17.22,80878.78,organic,California
06-01-2020,1.093798774,303305.05,108880.27,51584.7,3540.02,101844.85,conventional,Charlotte
06-01-2020,1.375388349,18127.13,8.91,3442.86,34.53,8568.76,organic,Charlotte
06-01-2020,1.194366209,738873.8,96032.98,238730.21,36542.71,86917,conventional,Chicago
06-01-2020,1.195407135,101856.58,1863.59,24610.38,0,6757.67,organic,Chicago
06-01-2020,0.799760896,334958.29,82859.32,20050.17,9710.12,21053.5,conventional,CincinnatiDayton
06-01-2020,1.330193522,16205.8,72.33,2982.62,0,1393.08,organic,CincinnatiDayton
06-01-2020,0.75956852,263479.57,72777.04,17797.61,1974.99,22996.37,conventional,Columbus
06-01-2020,1.578967155,10417.24,527.94,1411.3,0,2050.81,organic,Columbus
06-01-2020,0.792646793,1362937,557622.46,179864.98,12253.02,227102.54,conventional,DallasFtWorth
06-01-2020,1.341334446,27696.88,3030.69,66.64,229.4,16596.48,organic,DallasFtWorth
06-01-2020,1.004121338,942718.54,197365.61,137466.37,3939.69,150790.13,conventional,Denver
06-01-2020,1.603383318,34136.25,7175.87,1167.03,10.71,5094.86,organic,Denver
06-01-2020,0.849827073,500810.45,123897.27,46789.51,69459.06,53490.16,conventional,Detroit
06-01-2020,1.564011291,23506.79,309.42,4078.23,0,6066.49,organic,Detroit
06-01-2020,1.193176475,189671.19,4334.35,73943.14,73196.35,21686.43,conventional,GrandRapids
06-01-2020,1.377461482,6748.26,10.14,1891.54,0,4796.5,organic,GrandRapids
06-01-2020,0.964466503,3908582.84,814090.3,806340.52,317423.3,464037.64,conventional,GreatLakes
06-01-2020,1.359737473,219305.86,5748.7,44306.12,0,48175.63,organic,GreatLakes
06-01-2020,1.069328152,338849.27,58367.04,200239.95,571.91,70115.89,conventional,HarrisburgScranton
06-01-2020,1.491056927,11906.91,730.87,331.19,0,10830.92,organic,HarrisburgScranton
06-01-2020,1.393854868,338796.19,7698.46,272585.6,693.7,48785.66,conventional,HartfordSpringfield
06-01-2020,1.962977773,14719.96,629.32,6145.69,6.75,7854.4,organic,HartfordSpringfield
06-01-2020,0.788483162,1105048.49,465257.42,291198.24,971.18,117560.66,conventional,Houston
06-01-2020,1.661454558,12106.18,9320.16,20.26,0,545.61,organic,Houston
06-01-2020,0.818686387,272716.11,75532.45,37992.92,4369.61,30083.79,conventional,Indianapolis
06-01-2020,1.39960336,7233.7,165.83,1126.92,0,2217.34,organic,Indianapolis
06-01-2020,0.927260221,245152.97,110013.16,8282.03,1011.9,36260.2,conventional,Jacksonville
06-01-2020,1.327745427,6444.38,43.66,137.59,0,6231.29,organic,Jacksonville
06-01-2020,0.967970421,337690.09,60253.98,44719.77,623.1,61676.33,conventional,LasVegas
06-01-2020,1.34587192,14457.81,1607.7,478.84,0,2407.52,organic,LasVegas
06-01-2020,1.11764943,2578324.13,817577.94,55045.84,135886.69,375800.41,conventional,LosAngeles
06-01-2020,1.612357637,110201.42,11941.45,1810.03,11.25,16204.52,organic,LosAngeles
06-01-2020,0.931460216,127816.06,34582.76,11866.89,221.99,18869.66,conventional,Louisville
06-01-2020,1.535145636,5014.73,0,1009.47,0,887.95,organic,Louisville
06-01-2020,0.924404571,1028710.14,399026.02,29641.86,4342.33,136506.92,conventional,Miami
06-01-2020,1.50985593,23988.31,496.32,5.69,0,19624.27,organic,Miami
06-01-2020,1.017148323,3636728.38,1123134.47,885541.73,22776.03,836843.6,conventional,Midsouth
06-01-2020,1.436105556,188625.84,676.02,23585.97,148.4,94429.92,organic,Midsouth
06-01-2020,0.859282315,263561.42,107017.56,8486.83,538.17,37307.26,conventional,Nashville
06-01-2020,1.619292848,12889.68,69.51,1385.59,0,3975.45,organic,Nashville
06-01-2020,1.27118046,1971892.85,57548.27,1414810.78,19296.68,396768.83,conventional,NewYork
06-01-2020,1.582755122,94457.84,17194.41,10912.9,99.96,56268.72,organic,NewYork
06-01-2020,0.886418862,287785.01,162370.68,17795.61,426.2,69950.18,conventional,NewOrleans
06-01-2020,1.163062091,6492.66,43.49,0.94,0,6274.8,organic,NewOrleans
06-01-2020,1.201642223,5569395.33,268742.94,3874098.4,26092.29,1004006.55,conventional,Northeast
06-01-2020,1.655929522,228683.27,26165.11,25935.96,108.22,157969.55,organic,Northeast
06-01-2020,0.916955768,635758.39,7797.56,537692.17,254.07,31868.97,conventional,NorthernNewEngland
06-01-2020,1.830698754,12809.64,32.14,520.81,0,10661.42,organic,NorthernNewEngland
06-01-2020,0.890158841,596289.75,228950.17,14528.65,4988.06,109677.54,conventional,Orlando
06-01-2020,1.245135066,19386.89,85.32,0,0,18941.37,organic,Orlando
06-01-2020,0.930281874,119886.79,29761.35,29658.68,1620.92,21051.67,conventional,PeoriaSpringfield
06-01-2020,1.77387875,3503.12,52.05,888.89,0,1362.99,organic,PeoriaSpringfield
06-01-2020,1.136013397,597516.62,48184.25,372216.82,1938.34,112450.4,conventional,Philadelphia
06-01-2020,1.576530603,27067.07,1865.05,3559.34,0,18782.76,organic,Philadelphia
06-01-2020,0.794015377,1223246.45,375409.65,220370.19,4517.75,90959.88,conventional,PhoenixTucson
06-01-2020,1.193591989,39632.66,2942.83,1145.22,0,21212.07,organic,PhoenixTucson
06-01-2020,1.227429952,94462.8,33543.19,6963.43,483.68,32555.8,conventional,Pittsburgh
06-01-2020,1.605803804,7050,1290.14,5.6,0,4860.01,organic,Pittsburgh
06-01-2020,1.048165899,1973838.16,861776.42,487421.79,21466.29,341850.88,conventional,Plains
06-01-2020,1.474596406,43310.59,5030.84,6966.77,21.33,25803.25,organic,Plains
06-01-2020,1.012243973,757149.81,105517.68,81403.72,3856.15,158133.29,conventional,Portland
06-01-2020,1.640623588,37800.87,163.39,9379.97,0,2521.94,organic,Portland
06-01-2020,1.444262222,79229.89,1857.9,54563.44,154.95,6954.87,conventional,Providence
06-01-2020,1.87826129,3415.06,13.08,3.92,0,3398.06,organic,Providence
06-01-2020,1.078885092,386022.6,147355.92,64227.34,5566.57,129188.63,conventional,RaleighGreensboro
06-01-2020,1.271940303,24241.11,2.03,3234.31,43.21,5874.18,organic,RaleighGreensboro
06-01-2020,0.874102943,313353.78,108709.94,58520.68,1536.35,58313.56,conventional,RichmondNorfolk
06-01-2020,1.284818535,17075.25,17.93,1686.64,17.58,10408.84,organic,RichmondNorfolk
06-01-2020,0.826760234,189688.94,67550.73,24376.2,131.25,30078.24,conventional,Roanoke
06-01-2020,1.362870184,7992.12,6.04,1112.84,0,3076.64,organic,Roanoke
06-01-2020,1.198342937,518070.27,149325.98,226698.5,4434.18,64570.13,conventional,Sacramento
06-01-2020,1.898469943,15189.18,1799.45,2277.05,0,8452.51,organic,Sacramento
06-01-2020,1.159394983,434946.03,86372.23,19733.01,11395.64,72331.47,conventional,SanDiego
06-01-2020,1.666397725,24436.99,773,706.93,2.86,4258.74,organic,SanDiego
06-01-2020,1.418041234,840536.14,259038.48,226770.28,6295.17,95295.93,conventional,SanFrancisco
06-01-2020,2.113329168,55952.46,3622.12,4802.37,1.34,29724.45,organic,SanFrancisco
06-01-2020,1.304621244,590003.81,72725.36,80716.74,1747.03,48820.92,conventional,Seattle
06-01-2020,1.582186483,84394.52,225.66,10535.7,5.69,5779.99,organic,Seattle
06-01-2020,0.990154065,441134.25,192038.4,41344.8,1736.12,72449.85,conventional,SouthCarolina
06-01-2020,1.458398784,18327.95,50.58,2804.89,39.88,11633.75,organic,SouthCarolina
06-01-2020,0.816119675,5349861.91,2605151.71,806184.9,67367.39,865342.57,conventional,SouthCentral
06-01-2020,1.39591179,92341.69,17339.96,1197.94,1207.67,58099.28,organic,SouthCentral
06-01-2020,0.917904854,5303741.29,2267927.39,207018.15,22621,803364.26,conventional,Southeast
06-01-2020,1.38768294,149964.85,1262.24,9261.87,41.46,111132.56,organic,Southeast
06-01-2020,1.044824827,82872.49,17966.43,11206.74,100.55,13566.04,conventional,Spokane
06-01-2020,1.773774764,3564.41,41.56,794.96,0,672.55,organic,Spokane
06-01-2020,1.10550027,193724.02,100956.82,8135.86,578.61,43413.28,conventional,StLouis
06-01-2020,2.186647879,6609.73,1033.67,1942.92,0,1881.89,organic,StLouis
06-01-2020,1.228421942,90752.67,3592.68,56081.7,72.74,26738.08,conventional,Syracuse
06-01-2020,1.575694932,3207.5,72.86,70.51,0,3038.37,organic,Syracuse
06-01-2020,0.89513704,647365.62,226267.64,16822.92,3299.83,104031.68,conventional,Tampa
06-01-2020,1.13811384,15586.17,131.78,2.84,0,15247.89,organic,Tampa
06-01-2020,0.812059463,152094.65,40276.78,16786.4,12339.08,15102.41,conventional,Toledo
06-01-2020,1.503112941,4558.13,67.08,816.12,0,964.46,organic,Toledo
06-01-2020,1.014990305,38160622.03,11382301.36,8838048.36,714727.96,6077879.46,conventional,TotalUS
06-01-2020,1.526267827,1490002.04,98374.42,158565.39,2098.85,646530.89,organic,TotalUS
06-01-2020,0.972386505,6786716.3,1673734.47,967372.45,52108.92,989240.31,conventional,West
06-01-2020,1.510693522,315901.83,20585.79,33133.86,554.56,70041.92,organic,West
06-01-2020,0.911555274,753211.32,354721.69,54599.58,56374.15,162280.79,conventional,WestTexNewMexico
06-01-2020,1.208876409,25342.65,1516.38,457.43,1147.36,15660.36,organic,WestTexNewMexico
06-01-2020,0.863307181,108407.05,38263.33,3758.2,292.92,19053.05,conventional,Wichita
06-01-2020,1.490119858,2134.28,4.39,399.22,2.19,604.41,organic,Wichita
12-01-2020,1.22760888,116738.3,3649.24,90717.11,203.78,16359.88,conventional,Albany
12-01-2020,1.814664013,1760.97,24.14,175.8,0,1399.22,organic,Albany
12-01-2020,0.932356941,743150.44,329534.02,32341.84,2497.81,101508.88,conventional,Atlanta
12-01-2020,1.422904674,29562.69,145.65,3777.9,0,7524.48,organic,Atlanta
12-01-2020,1.34791109,820894,86695.05,364817.44,4451.67,270011.48,conventional,BaltimoreWashington
